cgpa,tenth_marks,twelfth_marks,internships,projects,skill_score,backlogs,placed
9.5,95,95,2,3,90,0,1
9.0,90,92,1,2,85,0,1
8.5,85,88,1,2,80,0,1
8.0,80,85,1,2,75,0,1
7.5,75,80,0,1,65,0,0
7.0,70,75,0,1,60,0,0
6.5,65,70,0,1,55,1,0
6.0,60,65,0,0,50,2,0
9.2,92,94,2,3,92,0,1
8.8,88,90,1,2,82,0,1
7.8,78,82,1,1,70,0,1
7.2,75,78,0,2,68,0,0
8.2,82,85,1,2,78,0,1
6.8,70,72,0,1,58,1,0
5.5,55,60,0,0,40,3,0
9.8,98,96,3,4,95,0,1
8.6,85,89,1,3,81,0,1
7.6,76,81,1,1,69,0,0
6.2,65,68,0,1,52,1,0
8.1,80,84,1,2,76,0,1
9.3,91,93,2,3,88,0,1
7.4,72,76,0,1,62,0,0
6.6,68,71,0,1,56,0,0
5.8,60,62,0,0,45,2,0
8.9,89,91,1,3,84,0,1
7.9,79,83,1,2,74,0,1
9.1,90,92,2,2,86,0,1
6.4,62,66,0,1,54,1,0
7.1,72,74,0,1,64,0,0
8.4,84,87,1,2,79,0,1
9.6,96,97,2,4,93,0,1
5.2,52,55,0,0,35,4,0
8.7,87,90,1,3,83,0,1
7.7,77,81,0,2,71,0,1
6.9,69,73,0,1,59,0,0
9.4,94,95,2,3,91,0,1
8.3,83,86,1,2,77,0,1
6.1,61,64,0,0,48,1,0
7.3,73,77,0,1,66,0,0
5.9,59,63,0,0,42,2,0
